76ac1b6a-4e84-4e3c-84b9-e187d323db64,ЛД Армада
e19f9de2-6330-4c4a-81f8-011d7ca078a1,АПИА Арена
5e88b280-657e-41a7-af9b-2873aba5bc14,Каток Цветник на ВДНХ
6dd47786-d552-4497-aa4d-d48132bea8f0,СК Снегирь
b58cdae0-c511-4ce0-925f-b5d80ee13576,Каток Серебрянный Бор
fad4bc66-a65f-47de-bb66-67de35e92423,Спортивный комплекс образовательного учреждения ул. Кошкина 13к2
b609936b-fe6d-46c0-afbb-d906a4992067,Каток Екатерининский парк
7b656689-e6db-456e-b80c-65e4e7ed2777,Спортивное сооружение ул Вилиса Лациса 29к1
e96997de-3d7e-44b8-b7e6-89292c18484d,Ледовый каток Зеленоград к2301
810ba428-fc44-4017-ad78-b0f26cf28593,Дворовый каток Каширский проезд 9к1
c5c2005d-7bc2-4029-b660-ad527e6e8938,Дворовый каток ул Краснохолмская набережная 1-15
8c8f5e26-5fba-4307-9845-2e46875c0e37,Спортивный комплекс образовательного учреждения ул Учинская 10
4e6ea309-20e2-4a76-a585-53a25601cc38,Overtime Master
f4880a36-50a1-42ab-9eae-331f5cd829e7,Ледовый дворец ЦСКА
35346873-40eb-43fe-8f73-a7ab5dce7ee1,Ice Park на Рязанском
fdf4c6c1-7258-4a64-a35b-996c8179cc12,Каток ЛЕДО
f78ef240-2538-4ab4-b2d0-c39d50e2492f,Ледовая арена Дворец спорта РГУФК
ba5e1edb-68ce-4341-9f67-050d8c8be03b,Каток Искра
ba52c8ff-c385-4638-8ebf-88ea1eb9159e,Крытый Каток в парк-отеле Пересвет
2a104d82-0fd2-4500-830a-edd459b0cd12,Дворовый каток Волгоградский проспект 53
55be5659-7b3e-4ffd-ab44-60a55be98d76,Дворовый каток ул Житная 10
0fbc7c49-ecbc-411f-9563-3f21aba686f2,Дворовый каток ул Малая Калитниковская 45
750974f5-6a31-4cc4-bce2-6dbe3c9e1a2a,Ледовый дворец Умка
50a00f47-c80c-485f-ab96-e2b4d146b98b,Арена Балашиха им.Ю.Е.Ляпкина
f528ede3-7fbf-4de1-a684-cadfa56c9014,Молодежка
5648cfcc-d483-4576-8075-418a49eef6cf,СПОРТТЕХ Арена
34acc6e5-b5e0-48ea-9bae-0a865b0a424b,СК Прометей  Аrena Play
b44b7ed9-714d-4a60-9310-19c8177e1364,Каток Ракета на ВДНХ
d495e386-d0d3-49d1-af02-bde4456a2393,ЛД Солнцево
8ac0bac2-eece-4129-a075-e031fdf064ab,ЛЕДО на Юности
ca89d210-93b9-4756-95df-60f28770cd6b,Открытый ледовый каток ул.Производстванная 6с39
1798f648-053b-41d6-8533-89d008a81050,Дворовый каток ул Вешняковская 37
03a57265-9b3c-4af9-8e5a-f0fce99c92c1,Дворовый каток ул Лавочкина 6к1
5668d321-f0ef-4cba-89ea-000ed658d614,ЛДС Кристалл
3ef6dfd1-4a6b-4fca-bf99-aa77aba9b0f3,Каток 50 лет Октября
2cdd8c45-cdcd-48b5-aa61-9468913a9729,Дворовый каток ул Вишневая 8к16
84817f97-c7bb-4817-af00-e63381c63d12,Спортивный комплекс образовательного учреждения ул Шипиловская 46к3
054b7aa4-14c5-4335-8bc7-878391c5d3d7,Каток в Измайловском парке
d6e1f5bb-ae9f-4c3e-8ad0-bbf1c37b88fc,Дворовый каток ул Академика Понтрягина 21к1
64b783eb-713e-4f46-8a4d-2d2e9165de3a,Дворовый каток ул Барышиха 33к1
cb174df7-265d-427e-8738-03e30db073af,Дворовый каток Варшавское шоссе 158к2
92f9529b-8d9f-429a-acd4-0efd13407a83,Каток парк Царицыно
616c2e50-50ef-436a-91fc-4d88273fcaef,каток в парке Березовая роща
1c4af507-3417-44e5-96c8-22c1fd51fa40,Альпийский Лед
6e6f75e9-a5c1-4e0f-b0d0-f679b20854dd,Дворец спорта Борисоглебский
5df5088c-26ed-4ca6-ae1c-aa1e6dc08002,Мегаспорт
73f150da-9ae9-4151-bb79-cdf47055cfd3,Каток Гольф-Клуба Сколково The Rink
a41bee25-e326-4c7a-b4d7-2f9da335e4d8,Ледовый дворец имени В. Харламова
5873c595-c6f9-4c23-b6b0-5b604d402e21,MegaIce ТЦ Каширская Плаза
1c89964b-3130-45ec-896f-aea75512dce9,Ледовый дворец АРКТИКА
def3452f-460e-42a1-83a3-837f808f9647,RIga Ice Land
34ba2c95-9fa4-4381-9abd-74e65542c844,Зарайский ледовый комплекс
a0bfdf7c-84b3-4c1d-9370-b6b9daea8ac8,Дворовый каток ул Костромская 16
d523339c-dafb-4e0e-9095-520b0fa295a3,Центр хоккейного мастерства
d85e2cac-4a7f-48d7-8926-dd38416a2808,Ледовая арена Третьяка
fc0e22a5-c4d4-4e0a-bfd0-b5ea2c3f327c,Спортивная школа  номер 7
7d330c49-80d0-443e-b664-2d9dd256333d,Каток Адмирал
8aadc2c7-f19a-49b8-9e33-481aa83428b1,Ледовая Арена Селятино им. Мышкина
746acac0-0ab3-4c1c-bdca-97b135406c2a,Каток с искусственным льдом Задонский проезд 3Ас3
a884c3a5-8113-4564-b9b9-5875f063f3bb,Спортивный комплекс образовательного учреждения Керамический пр-д 47А
fc73b417-1887-44ff-8705-29f1c6094ca8,Каток в Парке 850-летия Москвы
7547d973-84ab-4586-ae37-c9cbfa36abeb,Каток на Лосиноостровской
12e35f80-4d6d-4c64-9e41-2ab46f382c9a,Дворовый каток Борисовский проезд 11к2
5113ba19-de6d-4100-9013-a2b102bd0977,Каток Олимп
21c96328-1939-4267-9217-d80e77cff3ef,Каток Vegas Крокус-Сити
904ca384-fb21-44ee-bbea-4e1075bf46e2,Космик ТЦ Калейдоскоп
21318c87-af2c-4af3-8064-de7aee7106a0,Ледовый хоккейный центр Витязь
392020ac-1a8c-4701-b5b1-1bdee49afd64,ФОК Ледовая арена Ногинск
b11327b2-bada-464d-8a30-f63c5d962ff4,СК Арктика
e5857a1c-b36b-4fb0-bb90-d6e781d24814,Дворовый каток ул Заповедная 28
7fccb88e-ac19-499b-9a1e-9b5e923296ce,Дворовый каток Космодамианская набережная 38с2
901f9885-8d45-463f-a553-ddd829370b89,Дворовый каток ул Кусковская 47
b81dfa8d-6efa-460f-a438-aaf292620152,Дворовый каток ул Малышева 2
b803e067-6dad-40fd-9f82-176eb2429f5a,Мой Каток
2625428e-d930-4372-93b1-d62f2d1eb02a,Каток Остров
6b5e14c9-4c34-43ae-be06-52cef43382d3,ЛК Арена Морозово
15fe46fd-bef8-442d-8da1-510ff2ac2e68,СК МАЯК
58b142fa-4a3b-44d7-a8e4-c5ab49930b1b,СК ДМИТРОВ
d59c4bda-5b5d-41cf-89a4-65a6f380f58a,Каток.Ру в Горки 2
dadf6d1d-ef39-4595-83d5-4b2ed02be82e,Каток Отрада
c5dd65d1-d9d5-4539-8aa5-ecafcd203775,Ледовый дворец ТРИУМФ
0fbbbc6f-762c-4c0e-9e62-3d4869b522b1,Ледовый Дворец Подмосковье
00c5efa9-99ac-48f7-9738-a0525b83bd4c,Каток на Курганской
2d5e20d3-cc05-4020-811e-f2bb5f8985e8,Дворовый каток ул Краснодонская 34к2
63a1d2ff-2c66-4178-b943-6f10a3d2c5a2,Арена Бобры
921f3d59-4bb8-471f-9ffc-3ca2766a10e8,Снежком
b8a76a31-b983-4831-a3a1-93838d1eeb90,MEGA ICE ТЦ Авиапарк
